particle,fluid,phi,T,size,k_ratio
Al2O3,H2O,0.005,20,3e-08,1.01437800036826
Al2O3,H2O,0.01,20,3e-08,1.02889448236253
Al2O3,H2O,0.015,20,3e-08,1.04355145634165
Al2O3,H2O,0.02,20,3e-08,1.05835097176658
Al2O3,H2O,0.025,20,3e-08,1.07329511815574
Al2O3,H2O,0.03,20,3e-08,1.08838602606848
Al2O3,H2O,0.035,20,3e-08,1.10362586811772
Al2O3,H2O,0.04,20,3e-08,1.11901686001261
Al2O3,H2O,0.045,20,3e-08,1.13456126163247
Al2O3,H2O,0.05,20,3e-08,1.15026137813297
Al2O3,H2O,0.055,20,3e-08,1.16611956108572
Al2O3,H2O,0.06,20,3e-08,1.18213820965244
CuO,H2O,0.005,20,2e-08,1.01428021067383
CuO,H2O,0.01,20,2e-08,1.02869702118373
CuO,H2O,0.015,20,2e-08,1.04325240095333
CuO,H2O,0.02,20,2e-08,1.05794835744788
CuO,H2O,0.025,20,2e-08,1.07278693709722
CuO,H2O,0.03,20,2e-08,1.08777022624578
CuO,H2O,0.035,20,2e-08,1.10290035213048
CuO,H2O,0.04,20,2e-08,1.11817948388753
CuO,H2O,0.045,20,2e-08,1.13360983358914
CuO,H2O,0.05,20,2e-08,1.14919365731111
CuO,H2O,0.055,20,2e-08,1.16493325623254
CuO,H2O,0.06,20,2e-08,1.18083097776856
Fe,H2O,0.005,20,7e-08,1.01474043398528
Fe,H2O,0.01,20,7e-08,1.02962643681592
Fe,H2O,0.015,20,7e-08,1.04466017553533
Fe,H2O,0.02,20,7e-08,1.05984386041497
Fe,H2O,0.025,20,7e-08,1.07517974603771
Fe,H2O,0.03,20,7e-08,1.09067013241379
Fe,H2O,0.035,20,7e-08,1.10631736613081
Fe,H2O,0.04,20,7e-08,1.12212384153874
Fe,H2O,0.045,20,7e-08,1.13809200197136
Fe,H2O,0.05,20,7e-08,1.15422434100529
Fe,H2O,0.055,20,7e-08,1.17052340375817
Fe,H2O,0.06,20,7e-08,1.1869917882272
TiO2,H2O,0.005,20,2.5e-08,1.01221404456534
TiO2,H2O,0.01,20,2.5e-08,1.02452795095939
TiO2,H2O,0.015,20,2.5e-08,1.03694294891228
TiO2,H2O,0.02,20,2.5e-08,1.04946028842844
TiO2,H2O,0.025,20,2.5e-08,1.0620812402061
TiO2,H2O,0.03,20,2.5e-08,1.07480709606732
TiO2,H2O,0.035,20,2.5e-08,1.08763916939879
TiO2,H2O,0.04,20,2.5e-08,1.10057879560366
TiO2,H2O,0.045,20,2.5e-08,1.11362733256483
TiO2,H2O,0.05,20,2.5e-08,1.12678616111996
TiO2,H2O,0.055,20,2.5e-08,1.14005668554862
TiO2,H2O,0.06,20,2.5e-08,1.15344033407182
MgO,H2O,0.005,20,4e-08,1.01452706798554
MgO,H2O,0.01,20,4e-08,1.02919551102894
MgO,H2O,0.015,20,4e-08,1.04400740297992
MgO,H2O,0.02,20,4e-08,1.0589648584496
MgO,H2O,0.025,20,4e-08,1.07407003381695
MgO,H2O,0.03,20,4e-08,1.0893251282651
MgO,H2O,0.035,20,4e-08,1.10473238484873
MgO,H2O,0.04,20,4e-08,1.12029409159359
