particle,fluid,phi,T,size,k_ratio
CuO,H2O,0.005,20,1.50E-07,1.006192597
Al2O3,H2O,0.005,20,1.50E-07,1.00620735
Al2O3,H2O,0.005,25,1.50E-07,1.006370902
Al2O3,H2O,0.005,20,1.25E-07,1.006427616
CuO,H2O,0.005,20,1.25E-07,1.006500969
CuO,H2O,0.005,25,1.50E-07,1.006679983
Al2O3,H2O,0.005,25,1.25E-07,1.006680216
Al2O3,H2O,0.005,20,1.00E-07,1.006758015
Al2O3,H2O,0.005,30,1.50E-07,1.006809774
Al2O3,H2O,0.005,20,9.00E-08,1.00694157
CuO,H2O,0.005,20,1.00E-07,1.006963528
CuO,H2O,0.005,25,1.25E-07,1.007113023
Al2O3,H2O,0.005,25,1.00E-07,1.007144186
Al2O3,H2O,0.005,20,8.00E-08,1.007171014
CuO,H2O,0.005,20,9.00E-08,1.007220505
Al2O3,H2O,0.005,30,1.25E-07,1.007261185
Al2O3,H2O,0.005,35,1.50E-07,1.007359319
Al2O3,H2O,0.005,25,9.00E-08,1.007401948
Al2O3,H2O,0.005,20,7.00E-08,1.007466013
CuO,H2O,0.005,20,8.00E-08,1.007541726
CuO,H2O,0.005,30,1.50E-07,1.00754249
Al2O3,H2O,0.005,25,8.00E-08,1.00772415
CuO,H2O,0.005,25,1.00E-07,1.007762581
Al2O3,H2O,0.005,20,6.00E-08,1.007859345
Al2O3,H2O,0.005,30,1.00E-07,1.007938301
CuO,H2O,0.005,20,7.00E-08,1.007954725
Al2O3,H2O,0.005,35,1.25E-07,1.007970054
CuO,H2O,0.005,25,9.00E-08,1.008123447
Al2O3,H2O,0.005,25,7.00E-08,1.008138409
CuO,H2O,0.005,30,1.25E-07,1.008174465
Al2O3,H2O,0.005,30,9.00E-08,1.008314476
Al2O3,H2O,0.005,40,1.50E-07,1.008322199
Al2O3,H2O,0.005,20,5.00E-08,1.00841001
CuO,H2O,0.005,20,6.00E-08,1.00850539
CuO,H2O,0.005,35,1.50E-07,1.008544063
CuO,H2O,0.005,25,8.00E-08,1.00857453
Al2O3,H2O,0.005,25,6.00E-08,1.008690755
Al2O3,H2O,0.005,30,8.00E-08,1.008784696
Al2O3,H2O,0.005,35,1.00E-07,1.008886156
CuO,H2O,0.005,30,1.00E-07,1.009122427
CuO,H2O,0.005,25,7.00E-08,1.009154493
Al2O3,H2O,0.005,40,1.25E-07,1.009173317
Al2O3,H2O,0.005,20,4.00E-08,1.009236007
CuO,H2O,0.005,20,5.00E-08,1.009276321
Al2O3,H2O,0.005,30,7.00E-08,1.009389263
Al2O3,H2O,0.005,35,9.00E-08,1.009395102
CuO,H2O,0.005,35,1.25E-07,1.009399092
Al2O3,H2O,0.005,45,1.50E-07,1.00943061
Al2O3,H2O,0.005,25,5.00E-08,1.00946404
CuO,H2O,0.005,30,9.00E-08,1.009649073
CuO,H2O,0.005,25,6.00E-08,1.009927778
Al2O3,H2O,0.005,35,8.00E-08,1.010031284
CuO,H2O,0.005,40,1.50E-07,1.010115773
Al2O3,H2O,0.005,30,6.00E-08,1.010195354
CuO,H2O,0.005,30,8.00E-08,1.01030738
CuO,H2O,0.005,20,4.00E-08,1.010432717
Al2O3,H2O,0.005,40,1.00E-07,1.010449995
Al2O3,H2O,0.005,45,1.25E-07,1.010546762
Al2O3,H2O,0.005,20,3.00E-08,1.010612669
Al2O3,H2O,0.005,25,4.00E-08,1.010623966
CuO,H2O,0.005,35,1.00E-07,1.010681636
Al2O3,H2O,0.005,35,7.00E-08,1.010849232
CuO,H2O,0.005,25,5.00E-08,1.011010376
Al2O3,H2O,0.005,50,1.50E-07,1.01112904
CuO,H2O,0.005,30,7.00E-08,1.011153775
Al2O3,H2O,0.005,40,9.00E-08,1.01115926
CuO,H2O,0.005,40,1.25E-07,1.011307339
Al2O3,H2O,0.005,30,5.00E-08,1.01132388
CuO,H2O,0.005,35,9.00E-08,1.01139416
CuO,H2O,0.005,45,1.50E-07,1.011877574
Al2O3,H2O,0.005,35,6.00E-08,1.01193983
Al2O3,H2O,0.005,40,8.00E-08,1.012045842
Al2O3,H2O,0.005,45,1.00E-07,1.01222099
CuO,H2O,0.005,30,6.00E-08,1.012282302
CuO,H2O,0.005,35,8.00E-08,1.012284815
CuO,H2O,0.005,20,3.00E-08,1.012360044
CuO,H2O,0.01,20,1.50E-07,1.012385194
Al2O3,H2O,0.01,20,1.50E-07,1.0124147
Al2O3,H2O,0.005,25,3.00E-08,1.012557177
Al2O3,H2O,0.005,50,1.25E-07,1.01262695
CuO,H2O,0.005,25,4.00E-08,1.012634273
Al2O3,H2O,0.01,25,1.50E-07,1.012741804
Al2O3,H2O,0.01,20,1.25E-07,1.012855232
CuO,H2O,0.01,20,1.25E-07,1.013001939
Al2O3,H2O,0.005,30,4.00E-08,1.01301667
Al2O3,H2O,0.005,55,1.50E-07,1.013057195
CuO,H2O,0.005,40,1.00E-07,1.013094688
Al2O3,H2O,0.005,45,9.00E-08,1.013151117
Al2O3,H2O,0.005,40,7.00E-08,1.013185732
CuO,H2O,0.01,25,1.50E-07,1.013359967
Al2O3,H2O,0.01,25,1.25E-07,1.013360432
Al2O3,H2O,0.005,20,2.00E-08,1.013365994
CuO,H2O,0.005,35,7.00E-08,1.013429943
CuO,H2O,0.005,45,1.25E-07,1.013440187
Al2O3,H2O,0.005,35,5.00E-08,1.013466668
Al2O3,H2O,0.01,20,1.00E-07,1.01351603
Al2O3,H2O,0.01,30,1.50E-07,1.013619548
CuO,H2O,0.005,30,5.00E-08,1.013862239
Al2O3,H2O,0.01,20,9.00E-08,1.01388314
CuO,H2O,0.01,20,1.00E-07,1.013927056
CuO,H2O,0.005,40,9.00E-08,1.014087659
CuO,H2O,0.01,25,1.25E-07,1.014226045
Al2O3,H2O,0.01,25,1.00E-07,1.014288373
Al2O3,H2O,0.005,45,8.00E-08,1.014313775
Al2O3,H2O,0.01,20,8.00E-08,1.014342027
CuO,H2O,0.01,20,9.00E-08,1.01444101
CuO,H2O,0.005,50,1.50E-07,1.014458339
Al2O3,H2O,0.01,30,1.25E-07,1.014522369
Al2O3,H2O,0.005,40,6.00E-08,1.014705587
Al2O3,H2O,0.01,35,1.50E-07,1.014718637
Al2O3,H2O,0.01,25,9.00E-08,1.014803896
Al2O3,H2O,0.005,50,1.00E-07,1.014873816
Al2O3,H2O,0.01,20,7.00E-08,1.014932025
CuO,H2O,0.005,35,6.00E-08,1.01495678
Al2O3,H2O,0.005,55,1.25E-07,1.014978717
CuO,H2O,0.01,20,8.00E-08,1.015083452
CuO,H2O,0.01,30,1.50E-07,1.01508498
CuO,H2O,0.005,40,8.00E-08,1.015328874
CuO,H2O,0.005,25,3.00E-08,1.015340768
Al2O3,H2O,0.01,25,8.00E-08,1.0154483
CuO,H2O,0.01,25,1.00E-07,1.015525163
Al2O3,H2O,0.01,20,6.00E-08,1.015718689
Al2O3,H2O,0.005,35,4.00E-08,1.015756924
CuO,H2O,0.005,45,1.00E-07,1.015784106
Al2O3,H2O,0.005,45,7.00E-08,1.015808621
Al2O3,H2O,0.005,60,1.50E-07,1.015825575
Al2O3,H2O,0.005,30,3.00E-08,1.015837986
Al2O3,H2O,0.01,30,1.00E-07,1.015876601
CuO,H2O,0.01,20,7.00E-08,1.01590945
Al2O3,H2O,0.01,35,1.25E-07,1.015940107
Al2O3,H2O,0.005,50,9.00E-08,1.016122075
CuO,H2O,0.005,20,2.00E-08,1.016214699
CuO,H2O,0.005,30,4.00E-08,1.016232145
CuO,H2O,0.01,25,9.00E-08,1.016246895
Al2O3,H2O,0.01,25,7.00E-08,1.016276818
