particle,fluid,phi,T,size,k_ratio
CuO,H2O,0.01,30,1.50E-07,1.082774635
CuO,H2O,0.01,30,1.25E-07,1.087940299
CuO,H2O,0.01,30,1.00E-07,1.094938239
CuO,H2O,0.01,35,1.50E-07,1.098389626
CuO,H2O,0.01,30,9.00E-08,1.098523788
CuO,H2O,0.015,30,1.50E-07,1.098884747
CuO,40:60 EG/W,0.01,30,1.50E-07,1.102363533
CuO,H2O,0.01,30,8.00E-08,1.102762174
CuO,H2O,0.015,30,1.25E-07,1.104200974
CuO,H2O,0.01,35,1.25E-07,1.105047526
CuO,EG,0.01,30,1.50E-07,1.106585598
CuO,H2O,0.01,30,7.00E-08,1.107879053
CuO,40:60 EG/W,0.01,30,1.25E-07,1.109351203
CuO,60:40 EG/W,0.01,30,1.50E-07,1.110463107
CuO,H2O,0.015,30,1.00E-07,1.111402882
CuO,H2O,0.02,30,1.50E-07,1.112964255
CuO,H2O,0.01,40,1.50E-07,1.113815783
CuO,EG,0.01,30,1.25E-07,1.113932406
CuO,H2O,0.01,35,1.00E-07,1.114067001
CuO,H2O,0.01,30,6.00E-08,1.114226933
CuO,H2O,0.015,35,1.50E-07,1.115034107
CuO,H2O,0.015,30,9.00E-08,1.115092938
CuO,60:40 EG/W,0.01,30,1.25E-07,1.118206555
CuO,H2O,0.02,30,1.25E-07,1.118223859
CuO,H2O,0.01,35,9.00E-08,1.118688327
CuO,40:60 EG/W,0.01,30,1.00E-07,1.118817418
CuO,40:60 EG/W,0.015,30,1.50E-07,1.119286983
CuO,H2O,0.015,30,8.00E-08,1.11945486
CuO,H2O,0.015,35,1.25E-07,1.12189453
CuO,H2O,0.01,40,1.25E-07,1.121947893
CuO,H2O,0.01,30,5.00E-08,1.122394566
CuO,40:60 EG/W,0.01,30,9.00E-08,1.123667642
CuO,EG,0.015,30,1.50E-07,1.123855163
CuO,EG,0.01,30,1.00E-07,1.123885147
CuO,40:60 EG/W,0.01,35,1.50E-07,1.123921865
CuO,H2O,0.01,35,8.00E-08,1.12415108
CuO,H2O,0.015,30,7.00E-08,1.12472088
CuO,H2O,0.02,30,1.00E-07,1.125349058
CuO,H2O,0.025,30,1.50E-07,1.125774628
CuO,40:60 EG/W,0.015,30,1.25E-07,1.126478322
CuO,60:40 EG/W,0.015,30,1.50E-07,1.127710582
CuO,60:40 EG/W,0.01,30,1.00E-07,1.128696624
CuO,EG,0.01,30,9.00E-08,1.128984653
CuO,H2O,0.02,30,9.00E-08,1.128999811
CuO,H2O,0.02,35,1.50E-07,1.1290352
CuO,H2O,0.01,45,1.50E-07,1.129219369
CuO,40:60 EG/W,0.01,30,8.00E-08,1.129400969
CuO,EG,0.01,35,1.50E-07,1.130554663
CuO,H2O,0.01,35,7.00E-08,1.130746102
CuO,H2O,0.025,30,1.25E-07,1.130842904
CuO,H2O,0.015,40,1.50E-07,1.130988085
CuO,H2O,0.015,35,1.00E-07,1.131188363
CuO,H2O,0.015,30,6.00E-08,1.131253781
CuO,EG,0.015,30,1.25E-07,1.131416107
CuO,H2O,0.01,40,1.00E-07,1.132964485
CuO,40:60 EG/W,0.01,35,1.25E-07,1.132968306
CuO,H2O,0.02,30,8.00E-08,1.133315273
CuO,40:60 EG/W,0.02,30,1.50E-07,1.133419164
CuO,H2O,0.01,30,4.00E-08,1.133459281
CuO,60:40 EG/W,0.01,30,9.00E-08,1.134071442
Al2O3,H2O,0.01,30,1.50E-07,1.13453259
CuO,60:40 EG/W,0.01,35,1.50E-07,1.134604668
CuO,EG,0.01,30,8.00E-08,1.13501265
CuO,60:40 EG/W,0.015,30,1.25E-07,1.135679727
CuO,H2O,0.02,35,1.25E-07,1.135832491
CuO,H2O,0.015,35,9.00E-08,1.135950264
CuO,40:60 EG/W,0.015,30,1.00E-07,1.136220447
CuO,40:60 EG/W,0.01,30,7.00E-08,1.136322646
CuO,H2O,0.03,30,1.50E-07,1.137699856
CuO,H2O,0.025,30,1.00E-07,1.137708913
CuO,EG,0.02,30,1.50E-07,1.138187207
CuO,H2O,0.02,30,7.00E-08,1.138525203
CuO,H2O,0.01,40,9.00E-08,1.138609078
CuO,H2O,0.01,45,1.25E-07,1.138823276
CuO,H2O,0.01,35,6.00E-08,1.138927731
CuO,H2O,0.015,40,1.25E-07,1.139374052
CuO,H2O,0.015,30,5.00E-08,1.139659474
CuO,EG,0.01,35,1.25E-07,1.140189653
CuO,60:40 EG/W,0.01,30,8.00E-08,1.140424878
CuO,40:60 EG/W,0.02,30,1.25E-07,1.140533907
CuO,40:60 EG/W,0.015,30,9.00E-08,1.14121204
CuO,H2O,0.025,30,9.00E-08,1.141226863
CuO,H2O,0.025,35,1.50E-07,1.141370091
CuO,H2O,0.015,35,8.00E-08,1.141579185
CuO,40:60 EG/W,0.015,35,1.50E-07,1.141588427
CuO,EG,0.015,30,1.00E-07,1.14165894
CuO,60:40 EG/W,0.02,30,1.50E-07,1.141851023
CuO,EG,0.01,30,7.00E-08,1.142290074
CuO,H2O,0.03,30,1.25E-07,1.142478555
CuO,H2O,0.01,50,1.50E-07,1.144476128
Al2O3,H2O,0.01,30,1.25E-07,1.144622762
CuO,60:40 EG/W,0.01,35,1.25E-07,1.144653176
CuO,40:60 EG/W,0.01,30,6.00E-08,1.144909517
CuO,H2O,0.02,40,1.50E-07,1.144911618
CuO,H2O,0.02,30,6.00E-08,1.144988522
CuO,H2O,0.02,35,1.00E-07,1.145040798
CuO,40:60 EG/W,0.01,35,1.00E-07,1.145223545
CuO,H2O,0.01,40,8.00E-08,1.145281409
CuO,H2O,0.025,30,8.00E-08,1.145385343
CuO,40:60 EG/W,0.01,40,1.50E-07,1.145415179
CuO,EG,0.02,30,1.25E-07,1.145667618
CuO,40:60 EG/W,0.025,30,1.50E-07,1.145789516
CuO,60:40 EG/W,0.015,30,1.00E-07,1.146475549
