particle,fluid,phi,T,size,k_ratio
Al2O3,H2O,0.005,20,1e-08,1.03760718138779
Al2O3,H2O,0.01,20,1e-08,1.07616919907078
Al2O3,H2O,0.015,20,1e-08,1.11572288518596
Al2O3,H2O,0.02,20,1e-08,1.15630699091049
Al2O3,H2O,0.025,20,1e-08,1.19796231309424
Al2O3,H2O,0.03,20,1e-08,1.24073183105381
Al2O3,H2O,0.035,20,1e-08,1.28466085449229
Al2O3,H2O,0.04,20,1e-08,1.32979718361485
Al2O3,H2O,0.045,20,1e-08,1.3761912826297
Al2O3,H2O,0.05,20,1e-08,1.42389646795831
CuO,H2O,0.005,20,1e-08,1.03712930056595
CuO,H2O,0.01,20,1e-08,1.07518917495734
CuO,H2O,0.015,20,1e-08,1.11421505168668
CuO,H2O,0.02,20,1e-08,1.1542441808138
CuO,H2O,0.025,20,1e-08,1.19531575253811
CuO,H2O,0.03,20,1e-08,1.23747102517831
CuO,H2O,0.035,20,1e-08,1.28075346341804
CuO,H2O,0.04,20,1e-08,1.32520888779118
CuO,H2O,0.045,20,1e-08,1.37088563648757
CuO,H2O,0.05,20,1e-08,1.41783474068041
Fe,H2O,0.005,20,1e-08,1.03952362835468
Fe,H2O,0.01,20,1e-08,1.0801025714643
Fe,H2O,0.015,20,1e-08,1.12177966795567
Fe,H2O,0.02,20,1e-08,1.16460010686979
Fe,H2O,0.025,20,1e-08,1.20861159110306
Fe,H2O,0.03,20,1e-08,1.25386451467912
Fe,H2O,0.035,20,1e-08,1.30041215523635
Fe,H2O,0.04,20,1e-08,1.34831088327666
Fe,H2O,0.045,20,1e-08,1.39762038990358
Fe,H2O,0.05,20,1e-08,1.44840393498408
TiO2,H2O,0.005,20,1e-08,1.02893391140409
TiO2,H2O,0.01,20,1e-08,1.05843137219023
TiO2,H2O,0.015,20,1e-08,1.08850900875749
TiO2,H2O,0.02,20,1e-08,1.11918410803912
TiO2,H2O,0.025,20,1e-08,1.15047465063376
TiO2,H2O,0.03,20,1e-08,1.18239934595103
TiO2,H2O,0.035,20,1e-08,1.21497766951585
TiO2,H2O,0.04,20,1e-08,1.24822990258776
TiO2,H2O,0.045,20,1e-08,1.28217717426457
TiO2,H2O,0.05,20,1e-08,1.31684150625414
MgO,H2O,0.005,20,1e-08,1.03836409679969
MgO,H2O,0.01,20,1e-08,1.0777221064039
MgO,H2O,0.015,20,1e-08,1.11811316020672
MgO,H2O,0.02,20,1e-08,1.15957847111163
MgO,H2O,0.025,20,1e-08,1.2021614737984
MgO,H2O,0.03,20,1e-08,1.24590797648779
MgO,H2O,0.035,20,1e-08,1.29086632531839
MgO,H2O,0.04,20,1e-08,1.33708758257598
MgO,H2O,0.045,20,1e-08,1.38462572015648
MgO,H2O,0.05,20,1e-08,1.43353782980362
SiC,H2O,0.005,20,1e-08,1.041283187321
SiC,H2O,0.01,20,1e-08,1.08371842917325
SiC,H2O,0.015,20,1e-08,1.12735463205041
SiC,H2O,0.02,20,1e-08,1.17224351038816
SiC,H2O,0.025,20,1e-08,1.21843979101968
SiC,H2O,0.03,20,1e-08,1.26600143575949
SiC,H2O,0.035,20,1e-08,1.31498988401935
SiC,H2O,0.04,20,1e-08,1.36547031759118
SiC,H2O,0.045,20,1e-08,1.41751194999689
SiC,H2O,0.05,20,1e-08,1.47118834310565
SiO2,H2O,0.005,20,1e-08,1.00937955991236
SiO2,H2O,0.01,20,1e-08,1.01881795453538
SiO2,H2O,0.015,20,1e-08,1.02831573918518
SiO2,H2O,0.02,20,1e-08,1.03787347618843
SiO2,H2O,0.025,20,1e-08,1.04749173499341
SiO2,H2O,0.03,20,1e-08,1.05717109228303
SiO2,H2O,0.035,20,1e-08,1.06691213209012
SiO2,H2O,0.04,20,1e-08,1.07671544591492
SiO2,H2O,0.045,20,1e-08,1.08658163284477
SiO2,H2O,0.05,20,1e-08,1.09651129967618
