particle,fluid,phi ,T,size,k_ratio
Al2O3,60:40 EG/W,0.01,21.91124307,5.30E-08,1.078800795
Al2O3,60:40 EG/W,0.01,27.97099644,5.30E-08,1.110283042
Al2O3,60:40 EG/W,0.01,36.15977406,5.30E-08,1.144508814
Al2O3,60:40 EG/W,0.01,44.35531049,5.30E-08,1.196838533
Al2O3,60:40 EG/W,0.01,55.11340037,5.30E-08,1.213150708
Al2O3,60:40 EG/W,0.01,71.37122817,5.30E-08,1.260903749
Al2O3,60:40 EG/W,0.01,90.42237441,5.30E-08,1.290759745
Al2O3,60:40 EG/W,0.02,22.92892632,5.30E-08,1.104738062
Al2O3,60:40 EG/W,0.02,29.10261387,5.30E-08,1.141401142
Al2O3,60:40 EG/W,0.02,37.06159204,5.30E-08,1.160092692
Al2O3,60:40 EG/W,0.02,45.48306574,5.30E-08,1.21761152
Al2O3,60:40 EG/W,0.02,55.56913708,5.30E-08,1.233874038
Al2O3,60:40 EG/W,0.02,73.28590168,5.30E-08,1.289493503
Al2O3,60:40 EG/W,0.02,90.21574802,5.30E-08,1.337296201
Al2O3,60:40 EG/W,0.04,23.956265,5.30E-08,1.156538111
Al2O3,60:40 EG/W,0.04,29.80263318,5.30E-08,1.216452868
Al2O3,60:40 EG/W,0.04,37.99044525,5.30E-08,1.248092361
Al2O3,60:40 EG/W,0.04,45.72445171,5.30E-08,1.264181081
Al2O3,60:40 EG/W,0.04,56.27012193,5.30E-08,1.311512042
Al2O3,60:40 EG/W,0.04,78.24783166,5.30E-08,1.38037739
Al2O3,60:40 EG/W,0.04,91.03646032,5.30E-08,1.435632707
Al2O3,60:40 EG/W,0.06,23.98523132,5.30E-08,1.234126459
Al2O3,60:40 EG/W,0.06,30.04595023,5.30E-08,1.268194985
Al2O3,60:40 EG/W,0.06,38.33997214,5.30E-08,1.284325085
Al2O3,60:40 EG/W,0.06,46.64171839,5.30E-08,1.321145411
Al2O3,60:40 EG/W,0.06,56.97303788,5.30E-08,1.394322602
Al2O3,60:40 EG/W,0.06,70.43175398,5.30E-08,1.444455019
Al2O3,60:40 EG/W,0.06,91.50378355,5.30E-08,1.487391376
Al2O3,60:40 EG/W,0.08,24.67849182,5.30E-08,1.291074237
Al2O3,60:40 EG/W,0.08,30.29892273,5.30E-08,1.345799884
Al2O3,60:40 EG/W,0.08,38.37086954,5.30E-08,1.367085989
Al2O3,60:40 EG/W,0.08,47.12255924,5.30E-08,1.409111976
Al2O3,60:40 EG/W,0.08,57.88740793,5.30E-08,1.443528097
Al2O3,60:40 EG/W,0.08,70.79383293,5.30E-08,1.51430936
Al2O3,60:40 EG/W,0.08,92.20573395,5.30E-08,1.567615658
Al2O3,60:40 EG/W,0.1,26.95427874,5.30E-08,1.386932053
Al2O3,60:40 EG/W,0.1,32.23773483,5.30E-08,1.439046594
Al2O3,60:40 EG/W,0.1,40.53465337,5.30E-08,1.462935529
Al2O3,60:40 EG/W,0.1,49.83959971,5.30E-08,1.486898949
Al2O3,60:40 EG/W,0.1,61.40295318,5.30E-08,1.560167177
Al2O3,60:40 EG/W,0.1,74.85297939,5.30E-08,1.58702309
Al2O3,60:40 EG/W,0.1,92.9240986,5.30E-08,1.691806671
CuO,60:40 EG/W,0.01,97.29386423,2.90E-08,1.132200374
CuO,60:40 EG/W,0.01,91.2886423,2.90E-08,1.174890825
CuO,60:40 EG/W,0.01,82.93355091,2.90E-08,1.222974191
CuO,60:40 EG/W,0.01,71.18420366,2.90E-08,1.265867973
CuO,60:40 EG/W,0.01,59.695953,2.90E-08,1.303442778
CuO,60:40 EG/W,0.01,43.24686684,2.90E-08,1.353582569
CuO,60:40 EG/W,0.01,29.01710183,2.90E-08,1.384174773
